,car_ID,turbo_aspiration,4doorcar,gas_car,front_engine_vehicle,CarName_alfa,CarName_audi,CarName_bmw,CarName_buick,CarName_chevrolet,CarName_dodge,CarName_honda,CarName_isuzu,CarName_jaguar,CarName_maxda,CarName_mazda,CarName_mercury,CarName_mitsubishi,CarName_nissan,CarName_peugeot,CarName_plymouth,CarName_porcshce,CarName_porsche,CarName_renault,CarName_saab,CarName_subaru,CarName_toyota,CarName_toyouta,CarName_vokswagen,CarName_volkswagen,CarName_volvo,CarName_vw,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4331707317073171,-0.2961103605205184,-0.07834728795049316,-0.15065040650406303,-0.410406504065044,-0.0029347764385323992,0.011670501610676488,0.10017421602787355,-0.27400696864111224,-0.07140853658536594,0.028678861788617914,-0.051070184171229424,-0.11720867208672085,-0.09871630295250318,0.005419031559214886
1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4331707317073171,-0.2961103605205184,-0.07834728795049316,-0.15065040650406303,-0.410406504065044,-0.0029347764385323992,0.011670501610676488,0.10017421602787355,-0.27400696864111224,-0.07140853658536594,0.028678861788617914,-0.051070184171229424,-0.11720867208672085,-0.09871630295250318,0.08001810806981516
2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,-0.12409869871293816,-0.04252639242810543,-0.03398373983739589,-0.11040650406504386,0.10373706219606807,0.09468936953520479,-0.4641114982578408,0.10218350754936394,-0.07140853658536594,0.2078455284552846,-0.051070184171229424,-0.1727642276422764,-0.1250320924261874,0.08001810806981516
3,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2331707317073171,0.030420251724379486,0.03807062249726779,0.024349593495937683,0.04792682926828936,-0.08478116899089858,-0.06757478140819144,-0.09982578397212664,0.06885017421603047,-0.008908536585365945,-0.008821138211382085,0.1530114484818318,-0.03387533875338752,-0.01976893453145055,0.01671439921722591
4,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2331707317073171,0.01875844414420481,0.03807062249726779,0.04101626016260459,0.04792682926828936,0.10412495979110298,0.034312011044638754,-0.09982578397212664,0.06885017421603047,-0.13390853658536594,0.045345528455284584,0.1530114484818318,-0.20054200542005418,-0.23029525032092424,0.10360184274038761
5,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2331707317073171,0.030420251724379486,0.04851838369129789,0.03268292682927054,-0.052073170731710285,-0.018838577834963743,0.034312011044638754,-0.09982578397212664,0.06885017421603047,-0.10265853658536594,0.024512195121951248,0.1530114484818318,-0.1727642276422764,-0.1513478818998716,0.048986878240114544
6,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,0.20534736542700333,0.2783691299599543,0.45768292682927125,0.1645934959349565,0.11188291169180119,0.034312011044638754,-0.09982578397212664,0.06885017421603047,-0.10265853658536594,0.024512195121951248,0.1530114484818318,-0.1727642276422764,-0.1513478818998716,0.11005633854496534
7,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,0.20534736542700333,0.2783691299599543,0.45768292682927125,0.1645934959349565,0.15455164714564137,0.034312011044638754,-0.09982578397212664,0.06885017421603047,-0.10265853658536594,0.024512195121951248,0.1530114484818318,-0.1727642276422764,-0.1513478818998716,0.14009456902011555
8,9,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,0.20534736542700333,0.2783691299599543,0.45768292682927125,0.1812601626016228,0.20575412969024962,0.015444086516336865,-0.14268292682926953,0.06885017421603047,-0.1151585365853659,0.14951219512195124,0.1530114484818318,-0.22831978319783197,-0.28292682926829266,0.2631023640650488
9,10,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.021673896039248377,0.061951219512193074,0.1660162601626046,-0.14373983739837706,0.19295350905409756,0.015444086516336865,-0.14268292682926953,0.06885017421603047,-0.19640853658536594,0.23284552845528458,0.1530114484818318,-0.25609756097560976,-0.23029525032092424,0.11375940691297094
10,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2331707317073171,0.07123657825499188,0.04105569712413371,-0.09231707317072946,0.04792682926828936,-0.06228310847887375,-0.07134836631385182,0.12160278745644484,-0.21686411149825527,-0.0839085365853659,-0.012987804878048752,0.27546042807366855,-0.06165311653116529,-0.04608472400513476,0.07828035919935192
11,12,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.07123657825499188,0.04105569712413371,-0.09231707317072946,0.04792682926828936,-0.06228310847887375,-0.07134836631385182,0.12160278745644484,-0.21686411149825527,-0.0839085365853659,-0.012987804878048752,0.27546042807366855,-0.06165311653116529,-0.04608472400513476,0.09056872621191336
12,13,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.07123657825499188,0.04105569712413371,-0.09231707317072946,0.04792682926828936,0.05990463395712315,0.1399723884031293,-0.014111498257840844,-0.03114982578396951,-0.07140853658536594,0.07034552845528458,-0.3571926331508213,-0.11720867208672085,-0.07240051347881897,0.19098578594082455
13,14,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.07123657825499188,0.04105569712413371,-0.09231707317072946,0.04792682926828936,0.08123900168404324,0.1399723884031293,-0.014111498257840844,-0.03114982578396951,-0.07140853658536594,0.07034552845528458,-0.3571926331508213,-0.11720867208672085,-0.07240051347881897,0.1943371587624322
14,15,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,0.13829197184099762,0.2231452493629395,0.08268292682927125,0.1645934959349565,0.19372930424416737,0.1399723884031293,-0.014111498257840844,-0.03114982578396951,-0.07140853658536594,0.07034552845528458,-0.3571926331508213,-0.14498644986449863,-0.1513478818998716,0.2802316029310435
15,16,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.13829197184099762,0.2231452493629395,0.08268292682927125,0.1645934959349565,0.26161138337527673,0.3097837091578463,0.20731707317073064,0.06408826945412581,-0.13390853658536594,0.32451219512195123,0.11219512195121956,-0.25609756097560976,-0.23029525032092424,0.43402237796703974
16,17,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.13829197184099762,0.2947870404077158,0.1660162601626046,-0.0020731707317101686,0.3197960226305134,0.3097837091578463,0.20731707317073064,0.06408826945412581,-0.13390853658536594,0.32451219512195123,0.11219512195121956,-0.25609756097560976,-0.23029525032092424,0.6960500826490317
17,18,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1668292682926829,0.3277963450188401,0.3425482344375664,0.41601626016260457,0.21459349593495602,0.36828322200987723,0.3097837091578463,0.20731707317073064,0.06408826945412581,-0.13390853658536594,0.32451219512195123,0.11219512195121956,-0.2838753387533875,-0.28292682926829266,0.585951279213254
18,19,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2331707317073171,-0.3019412643106056,-0.4917801237713889,-0.46731707317072946,-0.043739837398376835,-0.41410622717553786,-0.24870685687988955,-0.2998257839721265,-0.10734030197444576,-0.040158536585365945,-0.2338211382113821,-0.010253857640617177,0.6050135501355014,0.5854942233632863,-0.20172063380000263
19,20,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.12409869871293816,-0.27088460138332904,-0.1923170731707291,-0.14373983739837706,-0.26437775549206227,-0.1392728946157386,-0.21411149825784104,-0.06924506387920763,-0.03390853658536597,-0.14215447154471542,0.11219512195121956,0.3550135501355014,0.3223363286264442,-0.17332085225986063
20,21,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.1668292682926829,-0.12409869871293816,-0.22760101929377674,-0.1923170731707291,-0.14373983739837706,-0.2508013396658404,-0.1392728946157386,-0.21411149825784104,-0.06924506387920763,-0.03390853658536597,-0.14215447154471542,0.11219512195121956,0.3550135501355014,0.3223363286264442,-0.1663698567780077
21,22,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.24373983739837732,-0.26360196030199246,-0.1392728946157386,-0.25696864111498363,-0.012102206736350445,-0.045783536585365936,-0.15048780487804875,0.1530114484818318,0.3272357723577236,0.26970474967907576,-0.19126931559335947
22,23,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.24373983739837732,-0.26360196030199246,-0.1392728946157386,-0.25696864111498363,-0.012102206736350445,-0.04640853658536592,-0.15048780487804875,0.1530114484818318,0.16056910569105692,0.19075738125802313,-0.17128520358303226
23,24,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.24373983739837732,-0.16585176635319493,-0.10908421537045558,-0.21411149825784104,0.06408826945412581,-0.15890853658536597,-0.008821138211382085,0.1530114484818318,-0.03387533875338752,-0.01976893453145055,-0.1320617290782907
24,25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.2604065040650436,-0.22830327915381557,-0.1392728946157386,-0.25696864111498363,-0.012102206736350445,-0.04640853658536592,-0.15048780487804875,0.1530114484818318,0.16056910569105692,0.19075738125802313,-0.17495930119486883
25,26,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.2604065040650436,-0.21976953206304753,-0.1392728946157386,-0.25696864111498363,-0.012102206736350445,-0.04640853658536592,-0.15048780487804875,0.1530114484818318,0.16056910569105692,0.19075738125802313,-0.1634653336659477
26,27,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.2604065040650436,-0.21976953206304753,-0.1392728946157386,-0.25696864111498363,-0.012102206736350445,-0.04640853658536592,-0.15048780487804875,0.1530114484818318,0.16056910569105692,0.19075738125802313,-0.14070082346287935
27,28,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.03317073170731708,-0.14742231387328794,-0.24998907899526926,-0.1756504065040628,-0.2604065040650436,-0.14141421786599556,-0.10908421537045558,-0.21411149825784104,0.06408826945412581,-0.15890853658536597,-0.008821138211382085,0.1530114484818318,-0.03387533875338752,-0.01976893453145055,-0.11714191377617064
28,29,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.3668292682926829,0.13246106805091007,0.00821987622861107,-0.10898373983739636,0.5062601626016227,-0.00797744517398624,-0.01851817763460653,0.007317073170730446,0.09742160278745907,-0.10265853658536594,-0.06715447154471542,-0.051070184171229424,-0.03387533875338752,-0.01976893453145055,-0.10813044463362559
29,30,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4331707317073171,-0.08328237218232577,-0.012675646159448715,0.03268292682927054,-0.29373983739837684,0.09908229105564914,0.1097837091578463,0.19303135888501632,0.30694541231126854,-0.19640853658536594,0.17034552845528458,-0.051070184171229424,-0.1727642276422764,-0.17766367137355582,-0.007763034872441933
30,31,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2331707317073171,-0.3544193984213931,-0.4395413178012397,-0.16731707317072933,-0.24373983739837732,-0.3268292682926829,-0.13172572480441785,-0.2998257839721265,0.07361207897793534,-0.03390853658536597,-0.1921544715447154,-0.1327028372324539,0.660569105691057,0.6118100128369705,-0.1687530552289287
31,32,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2331707317073171,-0.3544193984213931,-0.4395413178012397,-0.16731707317072933,-0.24373983739837732,-0.2857121232189824,-0.13172572480441785,-0.2998257839721265,0.07361207897793534,-0.05890853658536599,-0.11715447154471542,0.357093081134893,0.16056910569105692,0.19075738125802313,-0.15941886129615476
32,33,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.3589443028758665,-0.1589837398373959,-0.09373983739837695,-0.27872996650835397,-0.18078232857800275,-0.2998257839721265,-0.0882926829268267,-0.002658536585365967,-0.18382113821138207,0.1530114484818318,0.3550135501355014,0.29602053915276,-0.19556403780179002
33,34,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.3589443028758665,-0.1589837398373959,-0.09373983739837695,-0.23877651421975815,-0.13172572480441785,-0.2998257839721265,0.07361207897793534,-0.05890853658536599,-0.11715447154471542,0.357093081134893,0.13279132791327916,0.0854942233632863,-0.16751180603574067
34,35,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03317073170731708,-0.14742231387328794,-0.3589443028758665,-0.1589837398373959,-0.09373983739837695,-0.2325701526991996,-0.13172572480441785,-0.2998257839721265,0.07361207897793534,-0.05890853658536599,-0.11715447154471542,0.357093081134893,0.13279132791327916,0.0854942233632863,-0.1526168157174844
35,36,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1668292682926829,-0.06578966081206354,-0.15894430287586636,-0.1589837398373959,0.06459349593495627,-0.2116236825673144,-0.13172572480441785,-0.2998257839721265,0.07361207897793534,-0.05890853658536599,-0.11715447154471542,0.357093081134893,0.13279132791327916,0.0854942233632863,-0.14849586839610016
36,37,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1668292682926829,-0.06578966081206354,-0.2529741536221352,-0.16731707317072933,0.3812601626016227,-0.20619311623682565,-0.13172572480441785,-0.2926829268292695,0.07361207897793534,-0.05890853658536599,-0.11715447154471542,0.357093081134893,0.13279132791327916,0.0854942233632863,-0.14849586839610016
37,38,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1668292682926829,-0.06578966081206354,-0.09775027302512018,-0.05898373983739565,-0.035406504065043976,-0.12395882608942456,-0.06380119650253106,-0.12839721254355524,0.15456445993031626,-0.07140853658536594,-0.07548780487804875,0.27546042807366855,0.04945799457994582,0.05917843388960208,-0.13360087807784385
38,39,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1668292682926829,-0.06578966081206354,-0.09775027302512018,-0.05898373983739565,-0.035406504065043976,-0.10340025355257429,-0.06380119650253106,-0.12839721254355524,0.15456445993031626,-0.07140853658536594,-0.07548780487804875,0.27546042807366855,0.04945799457994582,0.05917843388960208,-0.10381089744133126
